ID,PlayerName,Rating,Club,Nation,NationTop,Card,League,LeagueTop,SkillMoves,WeakFoot,StrongFoot,Position,WorkRateAtk,WorkRateDef,HeightCm,HeightIn,WeightKg,WeightLb,Popularity,IGS_base,IGS_total,Reputation,BodyType,DOB,DateAdded,PAC,Acceleration,SprintSpeed,SHO,Positioning,Finishing,ShotPower,LongShots,Volleys,Penalties,PAS,Vision,Crossing,FKAccuracy,ShortPassing,LongPassing,Curve,DRI,Agility,Balance,Reactions,BallControl,Dribbling,Composure,DEF,Interceptions,HeadingAccuracy,DefAwareness,StandingTackle,SlidingTackle,PHY,Jumping,Stamina,Strength,Aggression,GK_DIVING,GK_Diving,GK_HANDLING,GK_Handling,GK_KICKING,GK_Kicking,GK_REFLEXES,GK_Reflexes,GK_SPEED,GK_Acceleration,GK_SprintSpeed,GK_POSITIONING,GK_Positioning,isGK,PlayerURL
10,Lev Yashin,94,FUT ICONS,Russia,Other,fut23 icon gold rare,ICN,ICN,1,3,Right,GK,M,M,189,74,82,181,746,510,1320,4,High&Average,1929-10-22,2021-08-31,95,65,53,89,32,15,56,23,23,46,75,79,33,30,34,33,25,96,79,64,92,43,25,75,60,43,20,21,21,20,95,87,45,77,61,95.0,95.0,89.0,89.0,75.0,75.0,96.0,96.0,60.0,65.0,53.0,95.0,95.0,True,https://www.futbin.com/23/player/174
50,Peter Schmeichel,92,FUT ICONS,Denmark,Other,fut23 icon gold rare,ICN,ICN,1,3,Right,GK,M,M,193,76,92,203,207,500,1300,4,High&Stocky,1963-11-18,2021-08-31,92,52,45,87,34,34,66,28,23,39,88,74,35,31,35,33,24,94,48,46,88,35,31,74,49,40,41,23,20,22,90,75,70,83,51,92.0,92.0,87.0,87.0,88.0,88.0,94.0,94.0,49.0,52.0,45.0,90.0,90.0,True,https://www.futbin.com/23/player/231
79,Edwin van der Sar,91,FUT ICONS,Netherlands,Netherlands,fut23 icon gold rare,ICN,ICN,1,3,Right,GK,M,M,197,78,83,183,349,480,917,4,High&Average+,1970-10-29,2021-08-31,85,40,39,90,10,6,61,9,12,18,81,70,11,9,47,47,8,89,42,45,83,32,8,66,40,25,10,10,10,10,95,74,30,75,10,85.0,85.0,90.0,90.0,81.0,81.0,89.0,89.0,40.0,40.0,39.0,95.0,95.0,True,https://www.futbin.com/23/player/64
90,Lev Yashin,91,FUT ICONS,Russia,Other,fut23 icon gold rare,ICN,ICN,1,3,Right,GK,M,M,189,74,82,181,339,498,1295,4,High&Average,1929-10-22,2021-08-31,93,67,55,85,32,13,55,21,21,44,73,77,31,28,32,31,23,93,81,66,89,41,23,73,62,41,18,19,19,18,92,89,48,79,61,93.0,93.0,85.0,85.0,73.0,73.0,93.0,93.0,62.0,67.0,55.0,92.0,92.0,True,https://www.futbin.com/23/player/173
102,Petr Cech,91,FUT ICONS,Czech Republic,Other,fut23 icon gold rare,ICN,ICN,1,3,Left,GK,M,M,196,77,90,198,238,495,1135,4,High&Average,1982-05-20,2021-08-31,89,57,53,88,13,14,60,13,13,28,80,61,22,23,38,41,23,91,68,65,90,24,19,70,55,24,28,27,15,24,92,73,45,77,27,89.0,89.0,88.0,88.0,80.0,80.0,91.0,91.0,55.0,57.0,53.0,92.0,92.0,True,https://www.futbin.com/23/player/233
134,Iker Casillas,91,FUT ICONS,Spain,Spain,fut23 wc icon gold rare,ICN,ICN,1,3,Left,GK,M,M,185,73,0,0,271,506,1353,4,Average,1981-05-20,2022-12-02,92,62,54,88,21,32,64,29,28,30,85,79,30,28,60,57,25,91,68,58,90,34,30,81,59,41,38,30,17,22,91,83,61,70,31,92.0,92.0,88.0,88.0,85.0,85.0,91.0,91.0,59.0,62.0,54.0,91.0,91.0,True,https://www.futbin.com/23/player/50253
169,Peter Schmeichel,90,FUT ICONS,Denmark,Other,fut23 icon gold rare,ICN,ICN,1,3,Right,GK,M,M,193,76,92,203,288,487,1242,4,High&Average,1963-11-18,2021-08-31,89,53,46,84,31,30,64,24,18,37,85,72,34,27,31,32,19,93,49,47,87,33,29,74,50,38,35,19,16,18,86,77,72,82,48,89.0,89.0,84.0,84.0,85.0,85.0,93.0,93.0,50.0,53.0,46.0,86.0,86.0,True,https://www.futbin.com/23/player/230
187,Thibaut Courtois,90,Real Madrid,Belgium,Other,fut23 gold rare,ESP 1,ESP 1,1,3,Left,GK,M,M,193,76,93,205,403,501,1160,4,Courtois,1992-05-11,2022-09-12,84,42,52,89,13,14,56,17,12,27,75,44,14,20,33,35,19,90,63,45,84,23,13,66,46,15,13,20,18,16,89,68,38,70,23,84.0,84.0,89.0,89.0,75.0,75.0,90.0,90.0,46.0,42.0,52.0,89.0,89.0,True,https://www.futbin.com/23/player/26269
188,Manuel Neuer,90,FC Bayern,Germany,Germany,fut23 gold rare,GER 1,GER 1,1,4,Right,GK,H,M,183,72,78,172,665,464,2216,5,Unique,1986-03-27,2022-09-12,87,54,60,88,12,13,68,16,11,47,91,70,15,11,60,68,14,88,51,35,87,46,30,70,56,30,25,17,10,11,91,77,43,80,29,87.0,87.0,88.0,88.0,91.0,91.0,88.0,88.0,56.0,54.0,60.0,91.0,91.0,True,https://www.futbin.com/23/player/26270
202,Thibaut Courtois,90,Belgium,Belgium,Other,fut23 wc playergold rare,WC,OTHER,1,3,Left,GK,H,L,187,74,83,183,271,445,2196,4,Courtois,1992-05-11,2022-11-11,84,42,52,89,13,14,56,17,12,27,75,44,14,20,33,35,19,90,63,45,84,23,13,66,46,15,13,20,18,16,89,68,38,70,23,84.0,84.0,89.0,89.0,75.0,75.0,90.0,90.0,46.0,42.0,52.0,89.0,89.0,True,https://www.futbin.com/23/player/48829
