,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
0,1.0,HN549294,2007-08-25 09:22:18,074XX N ROGERS AVE,560,ASSAULT,SIMPLE,OTHER,False,False,1.0,24,1.0,1.0,08A,1.0,1.0,1.0,2015-08-17 15:03:40,1.0,1.0,
1,1.0,JE240540,2021-05-24 15:06:00,020XX N LARAMIE AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1.0,25,1.0,1.0,01A,1.0,1.0,1.0,2023-11-18 15:39:49,1.0,1.0,"(41.917838056, -87.755968972)"
2,1.0,JE279849,2021-06-26 09:24:00,062XX N MC CORMICK RD,110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,True,False,1.0,17,1.0,1.0,01A,1.0,1.0,1.0,2023-11-18 15:39:49,1.0,1.0,"(41.995219444, -87.713354912)"
3,1.0,JG507211,2023-11-09 07:30:00,019XX W BYRON ST,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,False,False,1.0,19,1.0,1.0,5,1.0,1.0,1.0,2023-11-18 15:39:49,1.0,1.0,"(41.952345086, -87.677975059)"
4,1.0,JG501049,2023-11-12 07:59:00,086XX S COTTAGE GROVE AVE,454,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, NO / MINOR INJURY",SMALL RETAIL STORE,True,False,1.0,6,1.0,1.0,08B,1.0,1.0,1.0,2023-12-09 15:41:24,1.0,1.0,"(41.737750767, -87.604855911)"
5,1.0,HH109118,2002-01-05 21:24:00,007XX E 103 ST,820,THEFT,$500 AND UNDER,GAS STATION,True,False,1.0,5,1.0,1.0,6,1.0,1.0,1.0,2016-02-04 06:33:39,1.0,1.0,"(41.886018055, -87.633937881)"
6,1.0,JG415333,2023-09-06 17:00:00,002XX N Wells st,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),False,False,1.0,1,1.0,1.0,14,1.0,1.0,1.0,2023-11-04 15:40:18,1.0,1.0,"(41.994913946, -87.881937669)"
7,1.0,JH406913,2024-07-01 00:00:00,102XX W ZEMKE RD,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",AIRPORT EXTERIOR - NON-SECURE AREA,False,False,1.0,16,1.0,1.0,11,1.0,1.0,1.0,2024-09-03 15:41:00,1.0,1.0,"(41.891851273, -87.710502796)"
8,1.0,JH394658,2024-08-25 20:21:00,033XX W OHIO ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,1.0,11,1.0,1.0,01A,1.0,1.0,1.0,2024-09-02 15:41:30,1.0,1.0,"(41.783844485, -87.700842728)"
9,1.0,JH453090,2024-04-01 00:00:00,060XX S ALBANY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1.0,8,1.0,1.0,08B,1.0,1.0,1.0,2024-10-04 15:40:30,1.0,1.0,"(41.866843668, -87.625816668)"
